,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,北 海 道,青　  森,岩　  手,宮  　城,秋  　田,山  　形,福　  島,茨　  城,栃　  木,群　  馬,埼　  玉,千　  葉,東　  京,神 奈 川,新　  潟,富　  山,石　  川,福　  井,山　  梨,長　  野,岐　  阜,静　  岡,愛　  知,三　  重,滋　  賀,京　  都,大　  阪,兵　  庫,奈　  良,和 歌 山,鳥  　取,島　  根,岡　  山,広　  島,山  　口,徳　  島,香　  川,愛　  媛,高　  知,福  　岡,佐  　賀,長　  崎,熊　  本,大　  分,宮　  崎,鹿 児 島,沖　  縄
,東　　　　京,624 ,"1,022 ","1,578 ","11,756 ",612 ,"1,186 ","5,340 ","15,840 ","10,262 ","8,383 ","65,610 ","31,153 ","305,514 ","36,153 ","2,978 ",828 ,"1,015 ",138 ,"1,328 ","4,037 ",556 ,"5,733 ","8,051 ","2,518 ",530 ,776 ,"19,694 ","5,640 ",331 ,"1,580 ",266 ,111 ,382 ,"2,553 ",93 ,133 ,238 ,597 ,962 ,"2,196 ",155 ,132 ,"1,130 ",116 ,46 ,278 , 
,神　 奈 　川,709 ,"1,847 ","5,073 ","4,335 ",642 ,"2,289 ","2,960 ","22,973 ","16,151 ","12,916 ","45,552 ","29,669 ","109,682 ","355,166 ","7,280 ","1,541 ","1,118 ",353 ,"6,300 ","6,553 ","1,219 ","28,809 ","18,014 ","1,833 ","1,565 ","1,104 ","7,274 ","6,562 ","1,402 ",498 ,76 ,65 ,"1,026 ","1,630 ",609 ,331 ,637 ,141 ,61 ,"2,511 ",296 ,558 ,314 ,151 ,481 ,123 , 
,新　　　　潟, ,450 ,903 ,"4,404 ","1,543 ","2,513 ","2,220 ","4,478 ","3,275 ","5,342 ","18,952 ","6,530 ","12,865 ","5,932 ","137,680 ","2,905 ","2,560 ",581 ,"1,286 ","5,897 ",614 ,"1,918 ","8,867 ","1,230 ","1,734 ","1,018 ","11,280 ","6,675 ",227 ,812 ,215 ,36 ,"1,214 ",451 ,204 ,55 ,773 ,63 ,186 ,"1,359 ",115 ,39 ,97 ,40 ,12 ,52 , 
,富　　　　山, ,65 ,185 ,579 ,98 ,255 ,814 ,"1,838 ",197 ,"1,077 ","3,964 ","2,046 ","1,868 ","2,245 ","1,655 ","89,086 ","5,624 ","2,480 ",123 ,"1,052 ","2,024 ","1,058 ","8,128 ","1,177 ","1,832 ","1,386 ","4,385 ","1,863 ","1,029 ",115 ,36 ,18 ,159 ,571 ,85 ,118 ,450 ,182 ,12 ,435 ,12 ,4 ,501 ,73 ,10 ,88 , 
,石　　　　川, ,313 ,169 ,83 ,17 ,161 ,243 ,512 ,302 ,"1,226 ","1,457 ",728 ,"1,447 ",882 ,819 ,"18,013 ","50,282 ","3,138 ",140 ,748 ,694 ,534 ,"3,358 ",565 ,381 ,522 ,"2,931 ","2,302 ",208 ,162 ,96 ,41 ,247 ,302 ,70 ,124 ,129 ,78 ,12 ,541 ,75 ,13 ,40 ,55 ,39 ,101 , 
,福　　　　井, ,48 ,26 ,120 ,52 ,52 ,217 ,178 ,407 ,343 ,579 ,280 ,898 ,384 ,"1,677 ","1,039 ","1,463 ","42,615 ",247 ,373 ,"1,366 ",604 ,"3,836 ",435 ,"5,233 ","1,333 ","2,558 ","3,556 ",115 ,777 ,12 ,46 ,716 ,226 ,43 ,90 ,142 ,98 ,12 ,227 ,21 ,26 ,48 ,29 ,15 ,13 , 
,山　　　　梨,36 ,76 ,34 ,238 ,10 ,33 ,147 ,"1,272 ",228 ,"1,285 ","3,202 ",777 ,"2,991 ","3,142 ",82 ,195 ,84 ,17 ,"40,033 ","1,162 ",239 ,"12,303 ","2,972 ",421 ,89 ,92 ,736 ,366 ,31 ,74 ,14 ,17 ,278 ,154 ,17 ,8 ,8 ,28 ,5 ,344 ,24 ,9 ,167 ,26 ,17 ,21 , 
,長　　　　野, ,256 ,262 ,840 ,157 ,261 ,"1,413 ","1,958 ","1,627 ","2,065 ","9,420 ","6,083 ","5,953 ","7,170 ","4,828 ",654 ,656 ,408 ,"4,517 ","72,227 ","1,445 ","1,969 ","9,502 ","1,504 ","1,488 ",875 ,"3,697 ","4,476 ",253 ,134 ,84 ,68 ,552 ,433 ,209 ,33 ,188 ,186 ,44 ,662 ,232 ,39 ,190 ,82 ,79 ,67 , 
,岐　　　　阜,0 ,117 ,280 ,"2,847 ",93 ,202 ,806 ,"1,667 ","1,469 ","1,258 ","4,615 ","1,984 ","2,400 ","2,851 ",802 ,"1,681 ","1,719 ","1,411 ",741 ,"2,265 ","163,449 ","7,732 ","66,947 ","5,094 ","6,229 ","1,721 ","6,707 ","3,213 ",550 ,281 ,"1,966 ",33 ,"1,368 ","1,041 ",399 ,106 ,885 ,"1,103 ","3,282 ","1,951 ","1,248 ",18 ,207 ,41 ,58 ,196 , 
,静　　　　岡,114 ,667 ,865 ,"3,671 ",492 ,357 ,"2,488 ","6,774 ","4,676 ","8,938 ","39,920 ","15,592 ","15,588 ","28,105 ","1,691 ","2,402 ","1,491 ",521 ,"2,314 ","5,281 ","4,026 ","199,661 ","58,579 ","4,878 ","1,988 ","3,005 ","19,498 ","5,836 ","2,084 ",352 ,141 ,162 ,"2,225 ","2,539 ",914 ,"1,246 ","2,377 ",505 ,94 ,"3,054 ","2,143 ",370 ,360 ,386 ,163 ,312 ,1 
,愛　　　　知,19 ,248 ,973 ,"4,308 ","1,419 ",707 ,"2,530 ","12,279 ","3,590 ","5,559 ","14,264 ","6,318 ","14,500 ","14,262 ","3,345 ","8,833 ","8,283 ","4,962 ","1,949 ","55,151 ","109,381 ","66,979 ","993,454 ","67,439 ","22,857 ","6,652 ","22,536 ","10,943 ","67,730 ","1,445 ",229 ,547 ,"5,770 ","6,382 ","1,437 ",753 ,990 ,"1,848 ",261 ,"9,973 ","1,119 ",247 ,504 ,341 ,840 ,"6,589 ", 
,三　　　　重, ,63 ,186 ,872 ,141 ,272 ,814 ,"1,888 ","1,404 ","1,547 ","6,261 ","2,687 ","1,799 ","4,632 ","1,284 ","2,966 ","1,136 ",946 ,471 ,"1,579 ","21,230 ","11,208 ","113,764 ","120,629 ","13,389 ","6,082 ","24,918 ","6,732 ","2,275 ","1,021 ",118 ,189 ,"2,909 ",959 ,"2,067 ",454 ,633 ,327 ,39 ,"1,603 ",350 ,185 ,182 ,151 ,49 ,31 ,1 
,滋　　　　賀, ,157 ,373 ,800 ,86 ,113 ,541 ,"1,045 ","1,095 ","2,683 ","3,789 ","2,127 ","1,099 ","4,950 ",546 ,"1,247 ",520 ,"2,592 ",347 ,527 ,"2,016 ","2,301 ","10,943 ","9,946 ","54,850 ","5,449 ","15,276 ","11,974 ","2,043 ",402 ,129 ,348 ,"3,169 ","2,625 ","1,021 ","1,624 ","1,172 ",709 ,148 ,"2,355 ",677 ,188 ,217 ,856 ,241 ,265 , 
,京　　　　都,8 ,2 ,58 ,137 ,3 ,181 ,140 ,567 ,237 ,747 ,"4,111 ","1,430 ","2,432 ","2,304 ",302 ,643 ,685 ,645 ,251 ,481 ,701 ,"4,794 ","8,515 ","1,797 ","4,324 ","55,717 ","21,125 ","9,876 ","1,928 ",994 ,298 ,184 ,"1,475 ","1,635 ",550 ,124 ,427 ,437 ,143 ,"1,243 ",33 ,180 ,220 ,121 ,227 ,139 , 
,大　　　　阪,29 ,232 ,483 ,"2,020 ",386 ,652 ,"1,660 ","7,776 ","3,780 ","4,306 ","26,093 ","8,079 ","10,597 ","10,029 ","4,122 ","6,046 ","4,778 ","3,917 ","1,054 ","12,582 ","8,402 ","7,722 ","43,556 ","9,713 ","22,348 ","28,540 ","426,359 ","77,338 ","18,528 ","11,454 ","1,518 ","1,386 ","11,336 ","11,568 ","2,679 ","1,532 ","5,052 ","4,042 ","1,413 ","11,658 ","2,386 ","1,625 ","1,096 ",785 ,789 ,694 ,12 
,兵　　　　庫,25 ,243 ,542 ,"2,290 ",149 ,743 ,"1,404 ","5,214 ","1,745 ","2,100 ","8,115 ","5,714 ","8,663 ","5,095 ","3,238 ","1,710 ","3,188 ","3,606 ",236 ,"1,810 ","3,701 ","5,817 ","23,911 ","9,942 ","20,092 ","18,591 ","97,008 ","305,936 ","13,431 ","4,583 ","2,527 ","2,533 ","18,204 ","21,653 ","3,303 ","1,511 ","4,093 ","4,946 ","1,398 ","8,283 ","2,760 ",818 ,807 ,422 ,788 ,632 , 
